group_id,kept_bit,kept_prevalence,n_features,max_distance_to_kept,mean_distance_to_kept,member_bits
1287,1950,77,1,0.0,0.0,1950
334,1951,380,1,0.0,0.0,1951
1326,1952,73,1,0.0,0.0,1952
556,1953,222,1,0.0,0.0,1953
534,1954,230,1,0.0,0.0,1954
1240,1955,82,1,0.0,0.0,1955
135,1956,836,1,0.0,0.0,1956
1396,1957,68,1,0.0,0.0,1957
1849,1958,32,1,0.0,0.0,1958
139,1959,801,1,0.0,0.0,1959
1135,1960,95,1,0.0,0.0,1960
1153,1961,93,1,0.0,0.0,1961
855,1962,133,1,0.0,0.0,1962
549,1964,224,1,0.0,0.0,1964
1709,1965,42,1,0.0,0.0,1965
1353,1966,71,1,0.0,0.0,1966
1862,1967,30,1,0.0,0.0,1967
1273,1968,79,1,0.0,0.0,1968
495,1969,250,1,0.0,0.0,1969
29,1970,2492,1,0.0,0.0,1970
159,1971,710,1,0.0,0.0,1971
136,1972,831,1,0.0,0.0,1972
1964,1973,19,1,0.0,0.0,1973
1189,1974,88,1,0.0,0.0,1974
529,1975,233,1,0.0,0.0,1975
1730,1976,40,1,0.0,0.0,1976
1288,1977,77,1,0.0,0.0,1977
176,1978,665,1,0.0,0.0,1978
1923,1979,24,1,0.0,0.0,1979
589,1980,205,1,0.0,0.0,1980
1337,1981,72,1,0.0,0.0,1981
848,1982,134,1,0.0,0.0,1982
1783,1983,36,1,0.0,0.0,1983
464,1984,272,1,0.0,0.0,1984
196,1985,612,1,0.0,0.0,1985
531,1986,231,1,0.0,0.0,1986
1965,1987,19,1,0.0,0.0,1987
1850,1988,32,1,0.0,0.0,1988
262,1989,478,1,0.0,0.0,1989
455,1990,281,1,0.0,0.0,1990
98,1991,1027,1,0.0,0.0,1991
711,1992,167,1,0.0,0.0,1992
365,1993,354,1,0.0,0.0,1993
1756,1994,38,1,0.0,0.0,1994
1260,1995,80,1,0.0,0.0,1995
373,1996,350,1,0.0,0.0,1996
1419,1997,65,1,0.0,0.0,1997
215,1998,573,1,0.0,0.0,1998
311,1999,407,1,0.0,0.0,1999
340,2000,374,1,0.0,0.0,2000
1816,2001,34,1,0.0,0.0,2001
1863,2002,30,1,0.0,0.0,2002
1834,2003,33,1,0.0,0.0,2003
107,2004,981,1,0.0,0.0,2004
1983,2005,17,1,0.0,0.0,2005
1592,2006,50,1,0.0,0.0,2006
1248,2007,81,1,0.0,0.0,2007
1368,2008,70,1,0.0,0.0,2008
58,2009,1651,1,0.0,0.0,2009
1575,2010,51,1,0.0,0.0,2010
1911,2011,25,1,0.0,0.0,2011
1167,2012,91,1,0.0,0.0,2012
682,2013,174,1,0.0,0.0,2013
1241,2014,82,1,0.0,0.0,2014
2022,2015,12,1,0.0,0.0,2015
1680,2016,44,1,0.0,0.0,2016
830,2017,139,1,0.0,0.0,2017
1289,2018,77,1,0.0,0.0,2018
1420,2019,65,1,0.0,0.0,2019
1078,2020,100,1,0.0,0.0,2020
234,2021,525,1,0.0,0.0,2021
1146,2022,94,1,0.0,0.0,2022
1053,2023,103,1,0.0,0.0,2023
687,2024,172,1,0.0,0.0,2024
899,2025,125,1,0.0,0.0,2025
881,2026,128,1,0.0,0.0,2026
1223,2027,84,1,0.0,0.0,2027
939,2028,119,1,0.0,0.0,2028
1369,2029,70,1,0.0,0.0,2029
775,2030,151,1,0.0,0.0,2030
1953,2031,20,1,0.0,0.0,2031
1025,2032,108,1,0.0,0.0,2032
100,2033,1008,1,0.0,0.0,2033
355,2034,361,1,0.0,0.0,2034
